"desc_utilizacao_sala","desc_definicao"
"À definir pelo Cliente",""
"Casamento",""
"Cocktail",""
"Convenção","Reunião de profissionais de uma mesma empresa ou profissionais equivalentes de empresas diferentes. Convenções podem ser de diversos tipos: vendas, lançamento de produto, congraçamento e comemorações. Debate Discussão entre dois oradores, comprometidos a defender um ponto de vista em torno de determinado assunto, o público interage somente com aplausos ou protestos não-formais."
"Formatura",""
"Palestra","É o método de discussão mais comum. Apresenta-se questões sobre um assunto e na sequência inicia-se perguntas e debates com a platéia buscando conclusões. Pode ter como complemento demonstrações ou exercícios de laboratório."
"Plenario",""
"Reunião",""
"Sala de Apoio",""
"Treinamento",""
"Workshop",""
"Congresso","É um conjunto de várias sessões de trabalho previamente definidas. Geralmente restrito a grupos associativos, categorias de profissionais ou linhas acadêmicas. Os congressos têm por objetivo de apresentar e debater assuntos de interesse específico de um segmento. Em um único congresso, pode-se ter, simultaneamente ou sequencial, palestras, conferências, mesa-redondas, debates e seminários. Um congresso também pode ser acompanhado de feiras voltadas para o público presente."
"Conferência","É a exposição feita por uma autoridade em um determinado assunto para um grande número de pessoas. Conta com a presença de um presidente de mesa para condução da apresentação, segue uma linha mais formal que uma palestra. Na conferência, perguntas são feitas somente por escrito e devidamente identificadas ao término da apresentação."
"Fórum","É uma reunião baseada na busca da participação intensa da platéia, preferencialmente formada por um grande número de pessoas. Um coordenador dá o tema de interesse geral e busca a opinião da platéia. Ocorre um debate livre até que conclusões possam ser obtidas."
"Mesa redonda","Reunião com um tempo específico para o questionamento pelos especialistas convidados das teses apresentadas pelos colegas. Há ampla discussão antes mesmo da participação da audiência."
"Painel","Reunião questionadora, que se resume para um grande grupo o teor de apresentações feitas por um grupo menor, ficando este disposto de preferência em mesa de semicírculo com o presidente ao centro. Há ampla discussão e, geralmente, discussões polêmicas."
"Simpósio","É uma reunião de especialistas de renome, sob a direção de um moderador, para apresentação de tema científico à um público específico. Os especialistas desenvolvem partes de um mesmo tema, e posteriormente entre si desenvolvem uma fase de debate. O coordenador do simpósio apresenta os especialistas e introduz os tópicos de cada assunto. O público participa somente no final, com perguntas escritas e identificadas, de caráter complementar, sem teor de polêmica."
"Seminário","É uma sequência de atividades para desenvolver capacidades, conhecimento e aprendizagem por meio de instrutores especializados. O objetivo é somar informações e experiências, sem a necessidade de chegar a conclusões ou resultados. Um seminário pode durar um dia ou até várias semanas."
"Brainstorming","Realiza-se através da estimulação livre do mente dos participantes para estimular a ideias com vista à solução de problemas. Grupos de pessoas são orientadas a emitir ideias sobre uma questão, que vão sendo trocadas e aperfeiçoadas sem juízo prévio de valor."
